LOTE,Fecha/hora inicio_preinoculo,Fecha/hora fin_preinoculo,línea 1,línea 2,línea 3,línea 1,línea 2,línea 3,línea 1,línea 2,línea 3,ID bioreactor,Fecha/hora inicio_inoculo,Fecha/hora fin_inoculo,Volumen de cultivo,Turbidez inicio cultivo,Turbidez final culttivo,Viabilidad final cultivo,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de inóculo utilizado,Turbidez inicio cultivo_cultivo_final,Turbidez fin cultivo,Viabilidad final cultivo_cultivo_final,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2,media_PV,media_temp_bioreactor,media_ph_biorreactor,media_PO_biorreactor
23019,2023-03-19 05:00:00,2023-03-20 07:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,13171,2023-03-20 07:24:00,2023-03-21 06:47:00,168.16,NR,32.800000000000004,134400000,1,NA,14615,2023-03-21 07:30:00,2023-03-23 06:30:00,82.4,17.28,91.2,184000000,17825,NA,NA,1747.92,6.0,0.40976715898072613,29.68953510308447,6.191825739462653,24.355139587324594
23020,2023-03-19 05:00:00,2023-03-20 07:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,13171,2023-03-20 07:24:00,2023-03-21 06:47:00,168.16,NR,32.800000000000004,134400000,1,NA,14616,2023-03-21 07:30:00,2023-03-23 06:30:00,80.4,18.8,91.2,181600000,14246,NA,NA,1676.16,6.56,0.42674621090078585,29.68953510308447,6.191825739462653,24.355139587324594
23021,2023-03-20 05:00:00,2023-03-21 06:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,14618,2023-03-21 06:37:00,2023-03-22 06:55:00,168.0,NR,27.84,115200000,1,NA,13170,2023-03-22 07:30:00,2023-03-24 06:30:00,66.4,16.16,86.4,248000000,17825,NA,NA,1928.496,8.08,0.7379724327951469,29.439841737081153,6.028035598545363,25.46292316726039
23022,2023-03-20 05:00:00,2023-03-21 06:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,14618,2023-03-21 06:37:00,2023-03-22 06:55:00,168.0,NR,27.84,115200000,1,NA,14614,2023-03-22 07:30:00,2023-03-24 06:30:00,85.60000000000001,18.48,83.2,229600000,12912,NA,NA,1782.8000000000002,5.920000000000001,0.1475567682677232,29.439841737081153,6.028035598545363,25.46292316726039
23023,2023-03-26 05:00:00,2023-03-27 07:21:00,5.496,5.504,5.5200000000000005,28.32,27.92,32,1,1,0,14618,2023-03-27 07:22:00,2023-03-28 07:29:00,155.20000000000002,18.24,31.680000000000003,106400000,1,NA,14615,2023-03-28 07:27:00,2023-03-30 10:00:00,77.60000000000001,17.12,74.4,132800000,17825,26.56,20.880000000000003,1861.84,2.9600000000000004,0.40832345101431977,29.44247367052799,6.002997759501542,23.39694469960392
23024,2023-03-26 05:00:00,2023-03-27 07:21:00,5.496,5.504,5.5200000000000005,28.32,27.92,32,1,1,0,14618,2023-03-27 07:22:00,2023-03-28 07:29:00,155.20000000000002,18.24,31.680000000000003,106400000,1,NA,14616,2023-03-28 07:24:00,2023-03-30 07:23:00,76.0,16.56,80.80000000000001,199200000,14246,24.56,10.4,2161.1200000000003,2.8000000000000003,0.25285639112063757,29.44247367052799,6.002997759501542,23.39694469960392
23025,2023-03-17 06:00:00,2023-03-28 07:42:00,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,13172,2023-03-28 07:42:00,2023-03-29 06:43:00,157.60000000000002,16.96,27.6,84800000,1,NA,13170,2023-03-29 07:09:00,2023-03-31 07:29:00,77.2,17.76,87.2,199200000,17825,30.64,29.360000000000003,2044.7200000000005,4.4799999999999995,0.7313030878332489,29.490283546211607,6.0172142396559956,23.917288909591267
23026,2023-03-17 06:00:00,2023-03-28 07:42:00,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,13172,2023-03-28 07:42:00,2023-03-29 06:43:00,157.60000000000002,16.96,27.6,84800000,1,NA,14614,2023-03-29 07:29:00,2023-03-31 07:38:00,78.80000000000001,18.24,81.2,206400000,14246,26.480000000000004,11.6,2263.2000000000003,3.44,0.6238431528102883,29.490283546211607,6.0172142396559956,23.917288909591267
23027,2023-04-02 05:00:00,2023-04-03 13:30:00,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168.0,18.880000000000003,23.52,104800000,1,NA,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.880000000000003,68.08,195200000,14246,26.24,9.840000000000002,1407.68,4.08,0.431857358846753,29.232881997289557,23.857258584768818,42.530060152041344
23028,2023-04-02 05:00:00,2023-04-03 13:30:00,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,13172,2023-04-03 13:30:00,2023-04-04 11:35:00,168.0,18.880000000000003,23.52,104800000,1,NA,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.60000000000001,18.56,67.2,176000000,17825,27.28,12.16,1373.2,4.720000000000001,0.4062613214292382,29.232881997289557,23.857258584768818,42.530060152041344
