LOTE,Fecha_Hora_Inicio,Fecha_Hora_Fin,ph1,ph2,ph3,turb1,turb2,turb3,linea1,linea2,linea3,ID bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de cultivo,Turbidez inicio cultivo,Turbidez final culttivo,Viabilidad final cultivo,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio_cultivo_final,Fecha/hora fin_cultivo_final,Volumen de inóculo utilizado,Turbidez inicio cultivo_cultivo_final,Turbidez fin cultivo,Viabilidad final cultivo_cultivo_final,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2,media_PV,media_temp_bioreactor,media_ph_biorreactor,media_PO_biorreactor,Cantidad entregada
23/023,774000.0,604620.0,5.496,5.504,5.5200000000000005,28.32,27.92,32.0,1,1,0,14618,604680.0,607320.0,155.20000000000002,18.24,31.680000000000003,106400000.0,1,23702.064516129034,14615,604620.0,617400.0,77.60000000000001,17.12,74.4,132800000.0,17825,26.56,20.880000000000003,1861.84,2.9600000000000004,0.3687083188919252,29.44247367052799,6.002997759501542,23.39694469960392,13.7
23/024,774000.0,604620.0,5.496,5.504,5.5200000000000005,28.32,27.92,32.0,1,1,0,14618,604680.0,607320.0,155.20000000000002,18.24,31.680000000000003,106400000.0,1,23702.064516129034,14616,604440.0,607980.0,76.0,16.56,80.80000000000001,199200000.0,14246,24.56,10.4,2161.1200000000003,2.8000000000000003,0.0064984892579581085,29.44247367052799,6.002997759501542,23.39694469960392,13.7
23/025,0.0,692280.0,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,13172,692280.0,690960.0,157.60000000000002,16.96,27.6,84800000.0,1,23702.064516129034,13170,689940.0,694740.0,77.2,17.76,87.2,199200000.0,17825,30.64,29.360000000000003,2044.7200000000005,4.4799999999999995,0.4100781256975501,29.490283546211607,6.0172142396559956,23.917288909591267,13.7
23/026,0.0,692280.0,5.48,5.5200000000000005,5.5200000000000005,26.56,27.52,26.4,1,1,0,13172,692280.0,690960.0,157.60000000000002,16.96,27.6,84800000.0,1,23702.064516129034,14614,691140.0,695280.0,78.80000000000001,18.24,81.2,206400000.0,14246,26.480000000000004,11.6,2263.2000000000003,3.44,0.25330172057555267,29.490283546211607,6.0172142396559956,23.917288909591267,13.8
23/027,1378800.0,1231560.0,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,13172,1231560.0,1226880.0,168.0,18.880000000000003,23.52,104800000.0,1,23702.064516129034,14615,1220520.0,1231200.0,83.2,16.880000000000003,68.08,195200000.0,14246,26.24,9.840000000000002,1407.68,4.08,0.37778529139807826,29.232881997289557,23.857258584768818,42.530060152041344,13.7
23/028,1378800.0,1231560.0,5.384,5.44,5.4,33.839999999999996,30.56,32.480000000000004,1,0,1,13172,1231560.0,1226880.0,168.0,18.880000000000003,23.52,104800000.0,1,23702.064516129034,14616,1220640.0,1231320.0,83.60000000000001,18.56,67.2,176000000.0,17825,27.28,12.16,1373.2,4.720000000000001,0.5910141805247452,29.232881997289557,23.857258584768818,42.530060152041344,13.7
23/033,3193200.0,3045960.0,5.448,5.456,5.392,28.08,28.24,29.44,1,0,1,13172,3045960.0,3044280.0,165.60000000000002,16.96,24.24,104000000.0,1,23702.064516129034,14616,3042000.0,3049200.0,82.4,17.84,72.48,227200000.0,17825,29.12,16.0,1628.88,5.5200000000000005,0.4003047534991408,29.505477243788693,14.6147864514222,29.59357022324845,13.8
23/034,3193200.0,3045960.0,5.448,5.456,5.392,28.08,28.24,29.44,1,0,1,13172,3045960.0,3044280.0,165.60000000000002,16.96,24.24,104000000.0,1,23702.064516129034,14615,3042000.0,3049200.0,83.2,16.32,69.12,196800000.0,12912,24.0,16.0,1592.0,5.5200000000000005,0.4913916101303857,29.505477243788693,14.6147864514222,29.59357022324845,13.8
23/036,5526000.0,5358360.0,5.384,5.464,5.5280000000000005,35.44,32.96,25.760000000000005,1,1,0,13171,5358360.0,5359380.0,164.4,14.96,21.76,88000000.0,1,23702.064516129034,13170,5356800.0,5367900.0,82.0,16.400000000000002,65.92,142400000.0,14246,25.84,12.880000000000004,1403.44,4.24,0.007846549326418845,29.504274859539695,6.075869708614591,27.782275799649096,13.7
23/038,5612400.0,5444760.0,5.6240000000000006,5.5600000000000005,5.5520000000000005,36.4,25.28,24.4,0,1,1,14618,5444760.0,5446980.0,168.72000000000003,12.32,22.32,115200000.0,1,23702.064516129034,14615,5445000.0,5458500.0,83.60000000000001,15.28,67.92,145600000.0,14246,23.040000000000003,13.52,1674.6400000000003,4.4,0.007849821869940878,29.462926966027357,5.971082717166847,24.482091985714742,14.0
